animal_ID,larvae_length_pixel_raw,larvae_length_pixel,tray_width_pixel,larvae_length_mm,treatment_odor,starved,hatch_date,acclimate_start,experiment_start,sex,dead
190903-13-bottom,42.544,43,563,6,naive_100ul_left_glucose_10gL,1day,190829,19:03,19:19,,pupa
191001-01-top,39.115,39,558,5.6,naive_100ul_left_amino_acids,1day,190926,14:22,14:38,m,no
191001-01-bottom,33.061,33,551,4.8,naive_100ul_left_amino_acids,1day,190926,14:22,14:38,m,no
191001-02-top,34.67,35,553,5.0,naive_100ul_left_amino_acids,1day,190926,14:57,15:13,m,no
191001-02-bottom,37,37,554,5.3,naive_100ul_left_amino_acids,1day,190926,14:57,15:13,m,no
191001-03-top,38.833,39,549,5.7,naive_100ul_left_amino_acids,1day,190926,15:31,15:47,f,no
191001-03-bottom,38.21,38,547,5.6,naive_100ul_left_amino_acids,1day,190926,15:31,15:47,m,no
191001-04-top,37.855,38,562,5.4,naive_100ul_left_amino_acids,1day,190926,16:06,16:23,m,no
191001-04-bottom,36.056,36,539,5.4,naive_100ul_left_amino_acids,1day,190926,16:06,16:23,f,no
191001-05-top,39.925,40,554,5.8,naive_100ul_left_amino_acids,1day,190926,16:41,16:58,f,no
191001-05-bottom,36.401,36,547,5.3,naive_100ul_left_amino_acids,1day,190926,16:41,16:58,f,no
191001-06-top,38.079,38,562,5.4,naive_100ul_left_amino_acids,1day,190926,17:18,17:35,m,no
191001-06-bottom,38.275,38,538,5.7,naive_100ul_left_amino_acids,1day,190926,17:18,17:35,m,no
191002-01-top,42.154,42,554,6.1,naive_100ul_left_amino_acids,1day,190927,10:54,11:11,m,no
191002-01-bottom,45.277,45,553,6.6,naive_100ul_left_amino_acids,1day,190927,10:54,11:11,f,no
191002-02-top,39.205,39,561,5.6,naive_100ul_left_amino_acids,1day,190927,11:43,11:59,m,no
191002-02-bottom,44.553,45,552,6.5,naive_100ul_left_amino_acids,1day,190927,11:43,11:59,m,no
191002-03-top,37.054,37,559,5.3,naive_100ul_left_amino_acids,1day,190927,12:50,13:06,m,no
191002-03-bottom,35.735,36,538,5.3,naive_100ul_left_amino_acids,1day,190927,12:50,13:06,,yes
191002-04-top,39.825,40,562,5.7,naive_100ul_left_amino_acids,1day,190927,13:25,13:41,m,no
191002-04-bottom,43.012,43,547,6.3,naive_100ul_left_amino_acids,1day,190927,13:25,13:41,m,no
191002-05-top,42.426,42,561,6.1,naive_100ul_left_amino_acids,1day,190927,14:00,14:17,m,no
191002-05-bottom,42.72,43,545,6.3,naive_100ul_left_amino_acids,1day,190927,14:00,14:17,f,no
191002-06-top,43.863,44,554,6.3,naive_100ul_left_amino_acids,1day,190927,14:37,14:53,m,no
191002-06-bottom,39.459,39,552,5.7,naive_100ul_left_amino_acids,1day,190927,14:37,14:53,m,no
191002-07-top,46.53,47,562,6.6,naive_100ul_left_amino_acids,no,190927,15:18,15:34,m,no
191002-07-bottom,46.098,46,542,6.8,naive_100ul_left_amino_acids,no,190927,15:18,15:34,m,no
191002-08-top,42.202,42,552,6.1,naive_100ul_left_amino_acids,no,190927,15:53,16:10,m,no
191002-08-bottom,41.617,42,553,6.0,naive_100ul_left_amino_acids,no,190927,15:53,16:10,f,no
191002-09-top,46.669,47,551,6.8,naive_100ul_left_amino_acids,no,190927,16:28,16:44,m,no
191002-09-bottom,45.177,45,551,6.6,naive_100ul_left_amino_acids,no,190927,16:28,16:44,m,no
191002-10-top,50.596,51,564,7.2,naive_100ul_left_amino_acids,no,190927,17:03,17:19,f,no
191002-10-bottom,49.518,50,544,7.3,naive_100ul_left_amino_acids,no,190927,17:03,17:19,,pupa
191002-11-top,52.01,52,552,7.5,naive_100ul_left_amino_acids,no,190927,17:37,17:53,f,no
191002-11-bottom,44.407,44,551,6.4,naive_100ul_left_amino_acids,no,190927,17:37,17:53,m,no
191003-01-top,44.922,45,564,6.4,naive_100ul_left_amino_acids,no,190928,12:50,13:06,m,no
191003-01-bottom,47.434,47,544,7.0,naive_100ul_left_amino_acids,no,190928,12:50,13:06,f,no
191003-02-top,45.343,45,553,6.6,naive_100ul_left_amino_acids,no,190928,13:23,13:40,m,no
191003-02-bottom,52.612,53,549,7.7,naive_100ul_left_amino_acids,no,190928,13:23,13:40,f,no
191003-03-top,44.944,45,554,6.5,naive_100ul_left_amino_acids,no,190928,13:59,14:15,m,no
191003-03-bottom,41.437,41,550,6.0,naive_100ul_left_amino_acids,no,190928,13:59,14:15,m,no
191003-04-top,40.311,40,569,5.7,naive_100ul_left_amino_acids,no,190928,14:34,14:50,m,no
191003-04-bottom,49.041,49,544,7.2,naive_100ul_left_amino_acids,no,190928,14:34,14:50,m,no
191003-05-top,46.39,46,563,6.6,naive_100ul_left_amino_acids,no,190928,15:10,15:26,m,no
191003-05-bottom,37.537,38,541,5.6,naive_100ul_left_amino_acids,no,190928,15:10,15:26,m,no
191003-06-top,45.277,45,561,6.5,naive_100ul_left_amino_acids,no,190928,15:43,15:59,f,no
